Giannis Antetokounmpo,15
Jordan Poole,666848
Klay Thompson,443
Jonathan Kuminga,17553979
Marcus Smart,420
Stephen Curry,115
Darius Garland,666581
Jaren Jackson Jr.,231
D'Angelo Russell,405
Kentavious Caldwell-Pope,81
Kevin Durant,140
Kawhi Leonard,274
Brook Lopez,283
Shai Gilgeous-Alexander,175
Austin Reaves,17553995
Jayson Tatum,434
Tyrese Maxey,3547254
Michael Porter Jr.,375
Andrew Wiggins,475
Dennis Schroder,409
Nikola Jokic,246
Trae Young,490
Deandre Ayton,22
Derrick White,473
Kevin Huerter,221
Joel Embiid,145
Domantas Sabonis,406
Mikal Bridges,61
Dejounte Murray,334
Pascal Siakam,416
Jaylen Brown,70
Desmond Bane,3547287
Julius Randle,387
Bam Adebayo,4
Jarrett Allen,9
Devin Booker,57
De'Aaron Fox,161
Jalen Brunson,73
Tobias Harris,200
Immanuel Quickley,3547269
LeBron James,237
Jamal Murray,335
Chris Paul,367
RJ Barrett,666423
Dillon Brooks,66
Ja Morant,666786
Khris Middleton,315
Jimmy Butler,79
Bobby Portis,377
Caris Levert,277
Donovan Mitchell,322
Jrue Holiday,214
Malcolm Brogdon,65
Aaron Gordon,177
Zach Lavine,268
James Harden,192
Anthony Davis,117
Russell Westbrook,472
Evan Mobley,17896076
Cameron Johnson,666679
